"rules","support","confidence","lift","count"
"{} => {VeilType=partial}",1,1,1,8124
"{VeilColor=white} => {VeilType=partial}",0.975381585425899,1,1,7924
"{VeilType=partial} => {VeilColor=white}",0.975381585425899,0.975381585425899,1,7924
"{} => {VeilColor=white}",0.975381585425899,0.975381585425899,1,7924
"{GillAttached=free} => {VeilType=partial}",0.974150664697193,1,1,7914
"{VeilType=partial} => {GillAttached=free}",0.974150664697193,0.974150664697193,1,7914
"{GillAttached=free,VeilColor=white} => {VeilType=partial}",0.973165928114229,1,1,7906
"{GillAttached=free,VeilType=partial} => {VeilColor=white}",0.973165928114229,0.998989133181703,1.02420339701769,7906
"{VeilType=partial,VeilColor=white} => {GillAttached=free}",0.973165928114229,0.997728419989904,1.02420339701769,7906
"{GillAttached=free} => {VeilColor=white}",0.973165928114229,0.998989133181703,1.02420339701769,7906
"{VeilColor=white} => {GillAttached=free}",0.973165928114229,0.997728419989904,1.02420339701769,7906
"{} => {GillAttached=free}",0.974150664697193,0.974150664697193,1,7914
"{RingNumber=one} => {VeilType=partial}",0.921713441654357,1,1,7488
"{VeilType=partial} => {RingNumber=one}",0.921713441654357,0.921713441654357,1,7488
"{VeilColor=white,RingNumber=one} => {VeilType=partial}",0.897095027080256,1,1,7288
"{VeilType=partial,RingNumber=one} => {VeilColor=white}",0.897095027080256,0.973290598290598,0.997856236813834,7288
"{VeilType=partial,VeilColor=white} => {RingNumber=one}",0.897095027080256,0.919737506309944,0.997856236813834,7288
"{RingNumber=one} => {VeilColor=white}",0.897095027080256,0.973290598290598,0.997856236813834,7288
"{VeilColor=white} => {RingNumber=one}",0.897095027080256,0.919737506309944,0.997856236813834,7288
"{GillAttached=free,RingNumber=one} => {VeilType=partial}",0.89807976366322,1,1,7296
"{VeilType=partial,RingNumber=one} => {GillAttached=free}",0.89807976366322,0.974358974358974,1.00021383721156,7296
"{GillAttached=free,VeilType=partial} => {RingNumber=one}",0.89807976366322,0.921910538286581,1.00021383721156,7296
"{GillAttached=free,VeilColor=white,RingNumber=one} => {VeilType=partial}",0.897095027080256,1,1,7288
"{GillAttached=free,VeilType=partial,RingNumber=one} => {VeilColor=white}",0.897095027080256,0.99890350877193,1.02411561146683,7288
"{VeilType=partial,VeilColor=white,RingNumber=one} => {GillAttached=free}",0.897095027080256,1,1.02653525398029,7288
"{GillAttached=free,VeilType=partial,VeilColor=white} => {RingNumber=one}",0.897095027080256,0.92183152036428,1.00012810783112,7288
"{GillAttached=free,RingNumber=one} => {VeilColor=white}",0.897095027080256,0.99890350877193,1.02411561146683,7288
"{VeilColor=white,RingNumber=one} => {GillAttached=free}",0.897095027080256,1,1.02653525398029,7288
"{GillAttached=free,VeilColor=white} => {RingNumber=one}",0.897095027080256,0.92183152036428,1.00012810783112,7288
"{RingNumber=one} => {GillAttached=free}",0.89807976366322,0.974358974358974,1.00021383721156,7296
"{GillAttached=free} => {RingNumber=one}",0.89807976366322,0.921910538286581,1.00021383721156,7296
"{} => {RingNumber=one}",0.921713441654357,0.921713441654357,1,7488
"{GillSpace=close} => {VeilType=partial}",0.838503200393895,1,1,6812
"{VeilType=partial} => {GillSpace=close}",0.838503200393895,0.838503200393895,1,6812
"{GillSpace=close,VeilColor=white} => {VeilType=partial}",0.814869522402757,1,1,6620
"{GillSpace=close,VeilType=partial} => {VeilColor=white}",0.814869522402757,0.971814445096888,0.996342825841383,6620
"{VeilType=partial,VeilColor=white} => {GillSpace=close}",0.814869522402757,0.835436648157496,0.996342825841383,6620
"{GillSpace=close} => {VeilColor=white}",0.814869522402757,0.971814445096888,0.996342825841383,6620
"{VeilColor=white} => {GillSpace=close}",0.814869522402757,0.835436648157496,0.996342825841383,6620
"{GillAttached=free,GillSpace=close} => {VeilType=partial}",0.812653865091088,1,1,6602
"{GillSpace=close,VeilType=partial} => {GillAttached=free}",0.812653865091088,0.969172049324721,0.994889275804149,6602
"{GillAttached=free,VeilType=partial} => {GillSpace=close}",0.812653865091088,0.834217841799343,0.994889275804149,6602
"{GillAttached=free,GillSpace=close,VeilColor=white} => {VeilType=partial}",0.812653865091088,1,1,6602
"{GillAttached=free,GillSpace=close,VeilType=partial} => {VeilColor=white}",0.812653865091088,1,1.02523977788995,6602
"{GillSpace=close,VeilType=partial,VeilColor=white} => {GillAttached=free}",0.812653865091088,0.997280966767372,1.02374407051025,6602
"{GillAttached=free,VeilType=partial,VeilColor=white} => {GillSpace=close}",0.812653865091088,0.835061978244371,0.995895994018977,6602
"{GillAttached=free,GillSpace=close} => {VeilColor=white}",0.812653865091088,1,1.02523977788995,6602
"{GillSpace=close,VeilColor=white} => {GillAttached=free}",0.812653865091088,0.997280966767372,1.02374407051025,6602
"{GillAttached=free,VeilColor=white} => {GillSpace=close}",0.812653865091088,0.835061978244371,0.995895994018977,6602
"{GillSpace=close} => {GillAttached=free}",0.812653865091088,0.969172049324721,0.994889275804149,6602
"{GillAttached=free} => {GillSpace=close}",0.812653865091088,0.834217841799343,0.994889275804149,6602
"{GillSpace=close,RingNumber=one} => {VeilType=partial}",0.795667159034958,1,1,6464
"{GillSpace=close,VeilType=partial} => {RingNumber=one}",0.795667159034958,0.948913681738109,1.02951051688574,6464
"{VeilType=partial,RingNumber=one} => {GillSpace=close}",0.795667159034958,0.863247863247863,1.02951051688574,6464
"{GillSpace=close,VeilColor=white,RingNumber=one} => {VeilType=partial}",0.772033481043821,1,1,6272
"{GillSpace=close,VeilType=partial,RingNumber=one} => {VeilColor=white}",0.772033481043821,0.97029702970297,0.994787111219956,6272
"{GillSpace=close,VeilType=partial,VeilColor=white} => {RingNumber=one}",0.772033481043821,0.947432024169184,1.0279030134015,6272
"{VeilType=partial,VeilColor=white,RingNumber=one} => {GillSpace=close}",0.772033481043821,0.860592755214051,1.02634403161464,6272
"{GillSpace=close,RingNumber=one} => {VeilColor=white}",0.772033481043821,0.97029702970297,0.994787111219956,6272
"{GillSpace=close,VeilColor=white} => {RingNumber=one}",0.772033481043821,0.947432024169184,1.0279030134015,6272
"{VeilColor=white,RingNumber=one} => {GillSpace=close}",0.772033481043821,0.860592755214051,1.02634403161464,6272
"{GillAttached=free,GillSpace=close,RingNumber=one} => {VeilType=partial}",0.772033481043821,1,1,6272
"{GillSpace=close,VeilType=partial,RingNumber=one} => {GillAttached=free}",0.772033481043821,0.97029702970297,0.996044107822458,6272
"{GillAttached=free,GillSpace=close,VeilType=partial} => {RingNumber=one}",0.772033481043821,0.950015146925174,1.03070553600696,6272
"{GillAttached=free,VeilType=partial,RingNumber=one} => {GillSpace=close}",0.772033481043821,0.859649122807018,1.02521865438699,6272
"{GillAttached=free,GillSpace=close,VeilColor=white,RingNumber=one} => {VeilType=partial}",0.772033481043821,1,1,6272
"{GillAttached=free,GillSpace=close,VeilType=partial,RingNumber=one} => {VeilColor=white}",0.772033481043821,1,1.02523977788995,6272
"{GillSpace=close,VeilType=partial,VeilColor=white,RingNumber=one} => {GillAttached=free}",0.772033481043821,1,1.02653525398029,6272
"{GillAttached=free,GillSpace=close,VeilType=partial,VeilColor=white} => {RingNumber=one}",0.772033481043821,0.950015146925174,1.03070553600696,6272
"{GillAttached=free,VeilType=partial,VeilColor=white,RingNumber=one} => {GillSpace=close}",0.772033481043821,0.860592755214051,1.02634403161464,6272
"{GillAttached=free,GillSpace=close,RingNumber=one} => {VeilColor=white}",0.772033481043821,1,1.02523977788995,6272
"{GillSpace=close,VeilColor=white,RingNumber=one} => {GillAttached=free}",0.772033481043821,1,1.02653525398029,6272
"{GillAttached=free,GillSpace=close,VeilColor=white} => {RingNumber=one}",0.772033481043821,0.950015146925174,1.03070553600696,6272
"{GillAttached=free,VeilColor=white,RingNumber=one} => {GillSpace=close}",0.772033481043821,0.860592755214051,1.02634403161464,6272
"{GillSpace=close,RingNumber=one} => {GillAttached=free}",0.772033481043821,0.97029702970297,0.996044107822458,6272
"{GillAttached=free,GillSpace=close} => {RingNumber=one}",0.772033481043821,0.950015146925174,1.03070553600696,6272
"{GillAttached=free,RingNumber=one} => {GillSpace=close}",0.772033481043821,0.859649122807018,1.02521865438699,6272
"{GillSpace=close} => {RingNumber=one}",0.795667159034958,0.948913681738109,1.02951051688574,6464
"{RingNumber=one} => {GillSpace=close}",0.795667159034958,0.863247863247863,1.02951051688574,6464
"{} => {GillSpace=close}",0.838503200393895,0.838503200393895,1,6812
"{VeilType=partial} => {GillSize=broad}",0.690792712949286,0.690792712949286,1,5612
"{VeilType=partial,VeilColor=white} => {GillSize=broad}",0.667159034958149,0.683997980817769,0.990163862466777,5420
"{VeilColor=white} => {GillSize=broad}",0.667159034958149,0.683997980817769,0.990163862466777,5420
"{GillAttached=free,VeilType=partial} => {GillSize=broad}",0.66494337764648,0.68258781905484,0.988122495010962,5402
"{GillAttached=free,VeilType=partial,VeilColor=white} => {GillSize=broad}",0.66494337764648,0.683278522641032,0.989122365989976,5402
"{GillAttached=free,VeilColor=white} => {GillSize=broad}",0.66494337764648,0.683278522641032,0.989122365989976,5402
"{GillAttached=free} => {GillSize=broad}",0.66494337764648,0.68258781905484,0.988122495010962,5402
"{VeilType=partial,RingNumber=one} => {GillSize=broad}",0.612506154603644,0.664529914529915,0.96198165104081,4976
"{VeilType=partial,VeilColor=white,RingNumber=one} => {GillSize=broad}",0.588872476612506,0.65642151481888,0.950243832214644,4784
"{VeilColor=white,RingNumber=one} => {GillSize=broad}",0.588872476612506,0.65642151481888,0.950243832214644,4784
"{GillAttached=free,VeilType=partial,RingNumber=one} => {GillSize=broad}",0.588872476612506,0.655701754385965,0.949201898188093,4784
"{GillAttached=free,VeilType=partial,VeilColor=white,RingNumber=one} => {GillSize=broad}",0.588872476612506,0.65642151481888,0.950243832214644,4784
"{GillAttached=free,VeilColor=white,RingNumber=one} => {GillSize=broad}",0.588872476612506,0.65642151481888,0.950243832214644,4784
"{GillAttached=free,RingNumber=one} => {GillSize=broad}",0.588872476612506,0.655701754385965,0.949201898188093,4784
"{RingNumber=one} => {GillSize=broad}",0.612506154603644,0.664529914529915,0.96198165104081,4976
"{GillSpace=close,VeilType=partial} => {GillSize=broad}",0.56080748399803,0.668819729888432,0.968191640344552,4556
"{GillSpace=close,VeilType=partial,VeilColor=white} => {GillSize=broad}",0.537173806006893,0.659214501510574,0.954286993990004,4364
"{GillSpace=close,VeilColor=white} => {GillSize=broad}",0.537173806006893,0.659214501510574,0.954286993990004,4364
"{GillAttached=free,GillSpace=close,VeilType=partial} => {GillSize=broad}",0.534958148695224,0.658285368070282,0.952941969031178,4346
"{GillAttached=free,GillSpace=close,VeilType=partial,VeilColor=white} => {GillSize=broad}",0.534958148695224,0.658285368070282,0.952941969031178,4346
"{GillAttached=free,GillSpace=close,VeilColor=white} => {GillSize=broad}",0.534958148695224,0.658285368070282,0.952941969031178,4346
"{GillAttached=free,GillSpace=close} => {GillSize=broad}",0.534958148695224,0.658285368070282,0.952941969031178,4346
"{GillSpace=close,VeilType=partial,RingNumber=one} => {GillSize=broad}",0.517971442639094,0.650990099009901,0.942381248103428,4208
"{GillSpace=close,VeilType=partial,VeilColor=white,RingNumber=one} => {GillSize=broad}",0.494337764647957,0.64030612244898,0.926914992654225,4016
"{GillSpace=close,VeilColor=white,RingNumber=one} => {GillSize=broad}",0.494337764647957,0.64030612244898,0.926914992654225,4016
"{GillAttached=free,GillSpace=close,VeilType=partial,RingNumber=one} => {GillSize=broad}",0.494337764647957,0.64030612244898,0.926914992654225,4016
"{GillAttached=free,GillSpace=close,VeilType=partial,VeilColor=white,RingNumber=one} => {GillSize=broad}",0.494337764647957,0.64030612244898,0.926914992654225,4016
"{GillAttached=free,GillSpace=close,VeilColor=white,RingNumber=one} => {GillSize=broad}",0.494337764647957,0.64030612244898,0.926914992654225,4016
"{GillAttached=free,GillSpace=close,RingNumber=one} => {GillSize=broad}",0.494337764647957,0.64030612244898,0.926914992654225,4016
"{GillSpace=close,RingNumber=one} => {GillSize=broad}",0.517971442639094,0.650990099009901,0.942381248103428,4208
"{GillSpace=close} => {GillSize=broad}",0.56080748399803,0.668819729888432,0.968191640344552,4556
"{} => {GillSize=broad}",0.690792712949286,0.690792712949286,1,5612
"{VeilType=partial} => {SurfaceAboveRing=smooth}",0.637124569177745,0.637124569177745,1,5176
"{VeilType=partial,VeilColor=white} => {SurfaceAboveRing=smooth}",0.613490891186608,0.628975265017668,0.987209245170698,4984
"{VeilColor=white} => {SurfaceAboveRing=smooth}",0.613490891186608,0.628975265017668,0.987209245170698,4984
"{GillAttached=free,VeilType=partial} => {SurfaceAboveRing=smooth}",0.613490891186608,0.629770027798838,0.988456666506522,4984
"{GillAttached=free,VeilType=partial,VeilColor=white} => {SurfaceAboveRing=smooth}",0.613490891186608,0.630407285605869,0.989456875630232,4984
"{GillAttached=free,VeilColor=white} => {SurfaceAboveRing=smooth}",0.613490891186608,0.630407285605869,0.989456875630232,4984
"{GillAttached=free} => {SurfaceAboveRing=smooth}",0.613490891186608,0.629770027798838,0.988456666506522,4984
"{VeilType=partial,RingNumber=one} => {SurfaceAboveRing=smooth}",0.582964057114722,0.632478632478632,0.992707961796061,4736
"{VeilType=partial,VeilColor=white,RingNumber=one} => {SurfaceAboveRing=smooth}",0.559330379123584,0.623490669593853,0.978600888674741,4544
"{VeilColor=white,RingNumber=one} => {SurfaceAboveRing=smooth}",0.559330379123584,0.623490669593853,0.978600888674741,4544
"{GillAttached=free,VeilType=partial,RingNumber=one} => {SurfaceAboveRing=smooth}",0.559330379123584,0.62280701754386,0.977527861384528,4544
"{GillAttached=free,VeilType=partial,VeilColor=white,RingNumber=one} => {SurfaceAboveRing=smooth}",0.559330379123584,0.623490669593853,0.978600888674741,4544
"{GillAttached=free,VeilColor=white,RingNumber=one} => {SurfaceAboveRing=smooth}",0.559330379123584,0.623490669593853,0.978600888674741,4544
"{GillAttached=free,RingNumber=one} => {SurfaceAboveRing=smooth}",0.559330379123584,0.62280701754386,0.977527861384528,4544
"{RingNumber=one} => {SurfaceAboveRing=smooth}",0.582964057114722,0.632478632478632,0.992707961796061,4736
"{GillSpace=close,VeilType=partial} => {SurfaceAboveRing=smooth}",0.544559330379124,0.649442160892543,1.01933309796967,4424
"{GillSpace=close,VeilType=partial,VeilColor=white} => {SurfaceAboveRing=smooth}",0.520925652387986,0.639274924471299,1.00337509397311,4232
"{GillSpace=close,VeilColor=white} => {SurfaceAboveRing=smooth}",0.520925652387986,0.639274924471299,1.00337509397311,4232
"{GillAttached=free,GillSpace=close,VeilType=partial} => {SurfaceAboveRing=smooth}",0.520925652387986,0.641017873371706,1.00611074251772,4232
"{GillAttached=free,GillSpace=close,VeilType=partial,VeilColor=white} => {SurfaceAboveRing=smooth}",0.520925652387986,0.641017873371706,1.00611074251772,4232
"{GillAttached=free,GillSpace=close,VeilColor=white} => {SurfaceAboveRing=smooth}",0.520925652387986,0.641017873371706,1.00611074251772,4232
"{GillAttached=free,GillSpace=close} => {SurfaceAboveRing=smooth}",0.520925652387986,0.641017873371706,1.00611074251772,4232
"{GillSpace=close,VeilType=partial,RingNumber=one} => {SurfaceAboveRing=smooth}",0.508124076809453,0.638613861386139,1.0023375212328,4128
"{GillSpace=close,VeilType=partial,VeilColor=white,RingNumber=one} => {SurfaceAboveRing=smooth}",0.484490398818316,0.627551020408163,0.984973819512349,3936
"{GillSpace=close,VeilColor=white,RingNumber=one} => {SurfaceAboveRing=smooth}",0.484490398818316,0.627551020408163,0.984973819512349,3936
"{GillAttached=free,GillSpace=close,VeilType=partial,RingNumber=one} => {SurfaceAboveRing=smooth}",0.484490398818316,0.627551020408163,0.984973819512349,3936
"{GillAttached=free,GillSpace=close,VeilType=partial,VeilColor=white,RingNumber=one} => {SurfaceAboveRing=smooth}",0.484490398818316,0.627551020408163,0.984973819512349,3936
"{GillAttached=free,GillSpace=close,VeilColor=white,RingNumber=one} => {SurfaceAboveRing=smooth}",0.484490398818316,0.627551020408163,0.984973819512349,3936
"{GillAttached=free,GillSpace=close,RingNumber=one} => {SurfaceAboveRing=smooth}",0.484490398818316,0.627551020408163,0.984973819512349,3936
"{GillSpace=close,RingNumber=one} => {SurfaceAboveRing=smooth}",0.508124076809453,0.638613861386139,1.0023375212328,4128
"{GillSpace=close} => {SurfaceAboveRing=smooth}",0.544559330379124,0.649442160892543,1.01933309796967,4424
"{} => {SurfaceAboveRing=smooth}",0.637124569177745,0.637124569177745,1,5176
"{VeilType=partial} => {SurfaceBelowRing=smooth}",0.607582471688823,0.607582471688823,1,4936
"{GillAttached=free,VeilType=partial,VeilColor=white} => {SurfaceBelowRing=smooth}",0.583948793697686,0.600050594485201,0.987603531117863,4744
"{GillAttached=free,VeilColor=white} => {SurfaceBelowRing=smooth}",0.583948793697686,0.600050594485201,0.987603531117863,4744
"{VeilType=partial,RingNumber=one} => {SurfaceBelowRing=smooth}",0.5534219596258,0.60042735042735,0.988223621327349,4496
"{RingNumber=one} => {SurfaceBelowRing=smooth}",0.5534219596258,0.60042735042735,0.988223621327349,4496
"{GillSpace=close,VeilType=partial} => {SurfaceBelowRing=smooth}",0.515017232890202,0.614210217263652,1.01090838838126,4184
"{GillSpace=close,VeilType=partial,VeilColor=white} => {SurfaceBelowRing=smooth}",0.491383554899064,0.603021148036254,0.992492667472959,3992
"{GillSpace=close,VeilColor=white} => {SurfaceBelowRing=smooth}",0.491383554899064,0.603021148036254,0.992492667472959,3992
"{GillAttached=free,GillSpace=close,VeilType=partial} => {SurfaceBelowRing=smooth}",0.491383554899064,0.60466525295365,0.995198645663585,3992
"{GillAttached=free,GillSpace=close,VeilType=partial,VeilColor=white} => {SurfaceBelowRing=smooth}",0.491383554899064,0.60466525295365,0.995198645663585,3992
"{GillAttached=free,GillSpace=close,VeilColor=white} => {SurfaceBelowRing=smooth}",0.491383554899064,0.60466525295365,0.995198645663585,3992
"{GillAttached=free,GillSpace=close} => {SurfaceBelowRing=smooth}",0.491383554899064,0.60466525295365,0.995198645663585,3992
"{GillSpace=close,VeilType=partial,RingNumber=one} => {SurfaceBelowRing=smooth}",0.478581979320532,0.601485148514851,0.98996461639681,3888
"{GillSpace=close,RingNumber=one} => {SurfaceBelowRing=smooth}",0.478581979320532,0.601485148514851,0.98996461639681,3888
"{GillSpace=close} => {SurfaceBelowRing=smooth}",0.515017232890202,0.614210217263652,1.01090838838126,4184
"{} => {SurfaceBelowRing=smooth}",0.607582471688823,0.607582471688823,1,4936
"{VeilType=partial,RingNumber=one} => {StalkShape=tapering}",0.567208271787297,0.615384615384615,1.0849358974359,4608
"{VeilType=partial,VeilColor=white,RingNumber=one} => {StalkShape=tapering}",0.567208271787297,0.632272228320527,1.11470911086718,4608
"{VeilColor=white,RingNumber=one} => {StalkShape=tapering}",0.567208271787297,0.632272228320527,1.11470911086718,4608
"{GillAttached=free,VeilType=partial,RingNumber=one} => {StalkShape=tapering}",0.567208271787297,0.631578947368421,1.11348684210526,4608
"{GillAttached=free,VeilType=partial,VeilColor=white,RingNumber=one} => {StalkShape=tapering}",0.567208271787297,0.632272228320527,1.11470911086718,4608
"{GillAttached=free,VeilColor=white,RingNumber=one} => {StalkShape=tapering}",0.567208271787297,0.632272228320527,1.11470911086718,4608
"{GillAttached=free,RingNumber=one} => {StalkShape=tapering}",0.567208271787297,0.631578947368421,1.11348684210526,4608
"{RingNumber=one} => {StalkShape=tapering}",0.567208271787297,0.615384615384615,1.0849358974359,4608
